,User,Time,Tweet,Location,Verified,Tweet_Source,Followers,Retweet_Count,Tweet ID,Sentiment,Insight
13,elmajor08114869,2022-07-09 23:51:13+00:00,  For my hand  LOVEDAMINI,Space,False,Twitter for iPhone,141,1,1545918528787718144,2,Positive
14,ChrisKh57703957,2022-07-09 23:51:12+00:00,"__ I really want to know from Burna Boy the inspiration behind Toni-Ann Singh 

LOVEDAMINI",,False,Twitter for iPhone,1071,8,1545918523473534976,1,Neutral
15,advtomiwa,2022-07-09 23:51:08+00:00,"  USA Apple Music top songs 

71 - For my hand ft  (new peak)
.
.

LoveDamini BurnaBoy ",,False,Twitter for iPhone,16284,61,1545918507858149378,2,Positive
16,BurnaBoyAG,2022-07-09 23:51:07+00:00, The fact that LOVEDAMINI  is arguably BURNABOY most watered-down project is scary. Imagine the numbers he would have pull…,Space 🛸,False,Twitter for iPhone,493,1,1545918501864423424,0,Negative
17,IceDee_Official,2022-07-09 23:51:02+00:00,_68472  new album at  this morning lovedamini ,"Abuja, Nigeria",False,Twitter for Android,915,181,1545918482923102213,1,Neutral
18,Thegreat_Moh,2022-07-09 23:51:02+00:00, From the beach sessions to the world. It’s always fun creating with my brother  — “Kilometre” + “Last Last” produ…,"Abuja, Nigeria",False,Twitter for iPhone,570,279,1545918480641318912,2,Positive
19,BurnaBoyAG,2022-07-09 23:51:01+00:00," Allah Walahi Burna boy not their father’s mate my man too good 
LOVEDAMINI That cloak and dagger is so sleek see burna…",Space 🛸,False,Twitter for iPhone,493,2,1545918478141382656,2,Positive
20,freshtoluwani,2022-07-09 23:51:01+00:00," ‘ He sampled Fela’ people are the most disappointed. 

LoveDamini","England, United Kingdom",False,Twitter for iPhone,874,64,1545918476954501123,0,Negative
21,thisispandora23,2022-07-09 23:50:57+00:00," . earned his biggest streaming day of all-time on Spotify on July 8, with 10 million listens following the release…",Outside ,False,Twitter for iPhone,1982,596,1545918458877059072,2,Positive
22,JasinMiles,2022-07-09 23:50:46+00:00," “Last Last” has now broken it’s highest daily  streams gains today!

— added 1,060,130 streams over the last 24…",Nigeria,False,Twitter for Android,1004,87,1545918415415697409,2,Positive
23,JasinMiles,2022-07-09 23:50:43+00:00," Lol “DIRTY SECRET” is really underrated! 
Am i the only loving that “Oluwa burna orin melo mo fe ko” part  LOVEDAMI…",Nigeria,False,Twitter for Android,1004,24,1545918403369746438,2,Positive
24,chuzzyofficial,2022-07-09 23:50:39+00:00,"I have my phone read. It's following spree! If you're OBIdient and Yus-ful, follow me now for immediate follow back… ",Nigeria,False,Twitter for Android,1047,0,1545918386177298432,1,Neutral
25,drtruetalk,2022-07-09 23:50:33+00:00,__baby Burna boy and Ed Sheeran made the absolute best collab with For my hand. The song legit speaks to the innermost parts of my…,,False,Twitter for iPhone,52,262,1545918361988747264,2,Positive
26,CryptoNewbie567,2022-07-09 23:50:31+00:00,"Whenever I’m broken you make you make me feel whole, whenever I’m lonely be there for my soul, wherever you are tha… ",In your heart,False,Twitter for iPhone,113,0,1545918351884550146,2,Positive
27,manliketola,2022-07-09 23:50:28+00:00,"_ As you are listening to “For my hand” , make sure you jam “last last” too. There’s a reason why they are on the same albu…",United States,False,Twitter for iPhone,1270,276,1545918340266426368,1,Neutral
28,RIA_WEGBA,2022-07-09 23:50:28+00:00, We'd like to say a massive thanks to  and everyone who came to his album signing today here at hmv Vault! His new al…,OUTSIDE ,False,Twitter for Android,349,56,1545918337930100736,2,Positive
29,bunmizion,2022-07-09 23:50:25+00:00, Stone wash denim featuring burnnnnnna kindly retweet for the love of good music and art LOVEDAMINI BurnaBoy BURNABOY…,"Lagos, Nigeria",False,Twitter for Android,560,163,1545918328203517952,2,Positive
30,kenzoranking,2022-07-09 23:50:21+00:00,__baby Burna boy and Ed Sheeran made the absolute best collab with For my hand. The song legit speaks to the innermost parts of my…,"Accra, Ghana",False,Twitter Web App,483,262,1545918310319099904,2,Positive
31,BurnaBoyAG,2022-07-09 23:50:18+00:00, Another Grammy award on the way for ! Congrats on new album LOVEDAMINI ,Space 🛸,False,Twitter for iPhone,493,705,1545918298499428353,2,Positive
32,RichardReuben6,2022-07-09 23:50:18+00:00," Where is the lie
Follow  
Gbagada Rain Teni Magodo LOVEDAMINI bumbum Kante Flood Credit Alert Meat PH City My Presiden…",Akure,False,Twitter for Android,56,32,1545918298352656389,1,Neutral
33,DAbdulwariz,2022-07-09 23:50:16+00:00, .’s LOVEDAMINI now charts in over 110 countries. (Apple),,False,Twitter for Android,65,239,1545918290094178307,2,Positive
34,JasinMiles,2022-07-09 23:50:15+00:00,_2un Make others no vex  Baba chop all the space LOVEDAMINI BURNABOY  highest  ,Nigeria,False,Twitter for Android,1004,57,1545918285920747529,2,Positive
35,uzoville02,2022-07-09 23:50:11+00:00, Thank yon for blessing us with this album...... every track speaks to me ........LOVEDAMINI,Lasgidi,False,Twitter for iPhone,264,0,1545918266920632320,2,Positive
36,iMarketED,2022-07-09 23:49:59+00:00, Thanks  LOVEDAMINI,"Atlanta, GA",False,Twitter for iPhone,1276,4786,1545918216928739328,2,Positive
37,drtruetalk,2022-07-09 23:49:57+00:00, From the beach sessions to the world. It’s always fun creating with my brother  — “Kilometre” + “Last Last” produ…,,False,Twitter for iPhone,52,279,1545918208426868738,2,Positive
38,DAbdulwariz,2022-07-09 23:49:54+00:00,"  LOVEDAMINI since release

4 on US Apple (New Record)
2 on US iTunes (New Record)
1 on UK Apple (Joint Record)
1 i…",,False,Twitter for Android,65,470,1545918196418576385,2,Positive
39,Campbell030,2022-07-09 23:49:54+00:00,"_ As you are listening to “For my hand” , make sure you jam “last last” too. There’s a reason why they are on the same albu…",Trenches ,False,Twitter for Android,48,276,1545918196313636865,1,Neutral
40,Senator_yen,2022-07-09 23:49:47+00:00, Peter Obi and Yusuf Datti made it very easy to campaign for them by not having a dirty past. Even Reno wish that Atiku…,,False,Twitter for iPhone,115,903,1545918166836068353,2,Positive
41,FulaniAyomikun,2022-07-09 23:49:45+00:00,"_kiddee Outside, African giant, twice as Tall, and  LOVEDAMINI let’s be honest Made in Lagos isn’t near any of this project when i…",,False,Twitter for Android,711,346,1545918157893812224,1,Neutral
42,ShottiGunz,2022-07-09 23:49:43+00:00," Burna boy's Album LoveDamini    Spotify Streams

Day 1
8,332,412

Yesterday                        Today ",this side,False,Twitter for iPhone,1579,72,1545918152516714496,1,Neutral
43,PAPArazzi_ach,2022-07-09 23:49:43+00:00,"Life is a ride, I take the front seat
Let the most high drive, He can't go wrongly  One thing I know you a… ",,False,Twitter for Android,3,0,1545918149115224072,1,Neutral
44,OrobodeDaniel,2022-07-09 23:49:42+00:00, .’s LOVEDAMINI is now 1 in 45 countries. (Apple),King Dsquare ,False,Twitter for Android,1130,99,1545918148184084480,2,Positive
45,Adeyanjuszn,2022-07-09 23:49:41+00:00," . earned his biggest streaming day of all-time on Spotify on July 8, with 10 million listens following the release…",,False,Twitter for iPhone,678,596,1545918142307876866,2,Positive
46,drtruetalk,2022-07-09 23:49:36+00:00,"_ As you are listening to “For my hand” , make sure you jam “last last” too. There’s a reason why they are on the same albu…",,False,Twitter for iPhone,52,276,1545918120682049538,1,Neutral
47,JamesBall___,2022-07-09 23:49:36+00:00, Now streaming LOVEDAMINI . That's a very electric album by  !,,False,Twitter for Android,117,12,1545918119272660992,2,Positive
48,iam_jp_arinze,2022-07-09 23:49:36+00:00,_clever07 The only artist that can sing about political issues and e go enter. The only artist that can sing about heartbreak an…,Nigeria,False,Twitter for Android,1094,80,1545918119117471745,1,Neutral
49,Or4mike,2022-07-09 23:49:33+00:00,"_ As you are listening to “For my hand” , make sure you jam “last last” too. There’s a reason why they are on the same albu…","Ajax, Ontario",False,Twitter for Android,848,276,1545918110028496899,1,Neutral
50,5IVE_G4L,2022-07-09 23:49:32+00:00, Can’t get enough of . Experience his new album LoveDamini now.   ,Nigerian Police Academy,False,Twitter for Android,9,1374,1545918103107899393,2,Positive
51,DonPabl7,2022-07-09 23:49:30+00:00,"_owl Ed Sheeran trying out Burna Boy’s heavy Jewelries 

 “For my hand” is 15 on UK  Apple Music chart 

LOVEDAMINI https…",,False,Twitter for Android,715,212,1545918096598355970,2,Positive
52,Charlesmpare1,2022-07-09 23:49:24+00:00," Omo this burna album na 10000/100
lovedamini 
 ","Tarkwa, Ghana ",False,Twitter for Android,129,1076,1545918070404808705,2,Positive
53,DaBlake2,2022-07-09 23:49:19+00:00," • Worldwide Apple Music album chart

6. LOVEDAMINI  - [+2] new peak 

.
.
.
.

• European Apple Music album chart 

…","Lagos, Nigeria",False,Twitter for Android,9,55,1545918049605357568,1,Neutral
54,Simplic48600966,2022-07-09 23:49:16+00:00, After listen  album for 2 days straight. I believe this is another classic album. LOVEDAMINI  Well done my fami…,"Lagos, Nigeria",False,Twitter for Android,20,232,1545918035436920833,2,Positive
55,CaptainOrangee,2022-07-09 23:49:03+00:00," every last word on each line of J Hus on Cloak and dagger literally ended with the ""er"" sound. That guy is crazyy!!!
LOV…",Places that matter🔸,False,Twitter for Android,3313,279,1545917981829566464,2,Positive
56,OUTSIDERS_CREW,2022-07-09 23:48:56+00:00, From the beach sessions to the world. It’s always fun creating with my brother  — “Kilometre” + “Last Last” produ…,"Chicago, IL",False,Twitter for iPhone,455,279,1545917952205242368,2,Positive
57,Simplic48600966,2022-07-09 23:48:53+00:00, .’s LOVEDAMINI is now 1 in 45 countries. (Apple),"Lagos, Nigeria",False,Twitter for Android,20,99,1545917940452790272,2,Positive
58,thewhitejalab,2022-07-09 23:48:51+00:00," ‘Cloak and Dagger’… that’s a proper ‘Melodic Rap Performance’ nominee. 

LoveDamini",in the Clouds on a Spaceship🛸,False,Twitter for Android,222,96,1545917933716733954,1,Neutral
59,vicnificent,2022-07-09 23:48:51+00:00,"_owl Ed Sheeran trying out Burna Boy’s heavy Jewelries 

 “For my hand” is 15 on UK  Apple Music chart 

LOVEDAMINI https…",Moon,False,Twitter for iPhone,366,212,1545917931229528068,2,Positive
60,BurnaBoyAG,2022-07-09 23:48:44+00:00, Poco lee Dey feel am Cloak and Dagger too lit  BurnaBoy LOVEDAMINI ,Space 🛸,False,Twitter for iPhone,493,174,1545917902582255618,2,Positive
61,jing92385238,2022-07-09 23:48:39+00:00,"_info SquidGame Season2 official trailer 2022 

Follow us for more jist _info

KinnPorscheEP14 incendioroma …",,False,Twitter Web App,124,1,1545917881225203712,1,Neutral
62,elmajor08114869,2022-07-09 23:48:37+00:00, No fela no diddy yet we breaking records. Them dey pray make we fall and stagger but We move in cloak in dagger  LOV…,Space,False,Twitter for iPhone,141,14,1545917874866470912,1,Neutral
63,Danfulanii_,2022-07-09 23:48:34+00:00, .’s LOVEDAMINI is now 1 in 45 countries. (Apple),Nigeria,False,Twitter Web App,139,99,1545917863042719744,2,Positive
64,sannyluvv,2022-07-09 23:48:34+00:00, Thanks  LOVEDAMINI,Jamaica,False,Twitter for iPhone,771,4786,1545917861121724417,2,Positive
65,Hillzpapii,2022-07-09 23:48:31+00:00," Grad school reading homework by the pool  and streaming LOVEDAMINI  
Hope all my outsiders are enjoying their day  h…","Lagos,Nigeria.",False,Twitter for iPhone,334,68,1545917849260232704,2,Positive
66,CaptainOrangee,2022-07-09 23:48:30+00:00,"  UK Apple Music Top Songs;

4. Burna Boy — Last Last
18. Burna Boy — For My Hand (feat. Ed Sheeran)
19. Burna Boy — Cloak…",Places that matter🔸,False,Twitter for Android,3313,114,1545917844403195904,1,Neutral
67,Richie_Szn,2022-07-09 23:48:29+00:00, Give it to Telz mhen!! Man's a beast!! Just can't get over Cloak and Dagger &amp; Common person  LOVEDAMINI BURNABOY htt…,,False,Twitter for Android,540,7,1545917838468304901,2,Positive
68,FulaniAyomikun,2022-07-09 23:48:28+00:00,"_mayor Love , Damini.  by me 
LOVEDAMINI ",,False,Twitter for Android,711,35,1545917833938345984,2,Positive
69,JasinMiles,2022-07-09 23:48:23+00:00,"_ I was so excited to tell my latina classmates about Burna and J Balvin track yesterday, also confidently played the al…",Nigeria,False,Twitter for Android,1004,154,1545917813231165441,2,Positive
70,RandyIshmael_01,2022-07-09 23:48:19+00:00," Hey burna, why don't you add B. D'OR ft  on LOVEDAMINI ? That would have helped your album mov… ",,False,Twitter for Android,51,0,1545917799058624524,1,Neutral
71,OUTSIDERS_CREW,2022-07-09 23:48:18+00:00, Now streaming LOVEDAMINI . That's a very electric album by  !,"Chicago, IL",False,Twitter for iPhone,455,12,1545917793153028096,2,Positive
72,ChrisDreXx,2022-07-09 23:48:18+00:00,"_owl Ed Sheeran trying out Burna Boy’s heavy Jewelries 

 “For my hand” is 15 on UK  Apple Music chart 

LOVEDAMINI https…",Lagos,False,Twitter for Android,961,212,1545917792976871425,2,Positive
73,Pana_xl,2022-07-09 23:48:15+00:00," Jesse was equally surprised by BurnaBoy never-ending musical prowess 

LoveDamini ",Nigeria ,False,Twitter for Android,190,76,1545917783019556865,2,Positive
74,AshakaSuccess,2022-07-09 23:48:13+00:00, love damini album is a wack I'd rather listen to davido better time album or wizkd made in lagos..this a… ,WEST AFRICA,False,Twitter for Android,176,0,1545917773553049601,0,Negative
75,Rraindrip,2022-07-09 23:48:11+00:00,"My top favorites from LOVEDAMINI  for now . 
1.Common person 
2. Different size 
3. It’s plenty 
4.cloak and dagger 
5. For my hand",,False,Twitter for iPhone,842,0,1545917765093048321,2,Positive
76,Pana_xl,2022-07-09 23:48:07+00:00," 10million streams on Spotify, 8th july, 2022 LoveDamini ",Nigeria ,False,Twitter for Android,190,20,1545917745765785611,2,Positive
77,FulaniAyomikun,2022-07-09 23:48:01+00:00, This is my favourite Burna Boy album LOVEDAMINI,,False,Twitter for Android,711,61,1545917723070308352,2,Positive
78,beejay_ydd,2022-07-09 23:47:59+00:00,LOVEDAMINI LOVEDAMINI LOVEDAMINI LOVEDAMINI LOVEDAMINI LOVEDAMINI LOVEDAMINI LOVEDAMINI LOVEDAMINI… ,,False,Twitter Web App,136,0,1545917712874053632,2,Positive
79,FulaniAyomikun,2022-07-09 23:47:40+00:00,_sammy Hate him or Love Him….. ur favourite needs to double up their effort before they touch BurnaBoy LOVEDAMINI GRAMMYs 0001…,,False,Twitter for Android,711,1,1545917633756860416,1,Neutral
80,BurnaBoyAG,2022-07-09 23:47:38+00:00," If you're an outsider and you already have a favourite track off LOVEDAMINI album..
Ur stanship should be on fraud watch…",Space 🛸,False,Twitter for iPhone,493,5,1545917625863004160,1,Neutral
81,_iamprincefidel,2022-07-09 23:47:38+00:00," Jagele my jam 4L  Thank You Burna 
LOVEDAMINI BURNABOY ",somewhere in the world 🌍,False,Twitter for Android,1397,75,1545917624391024646,2,Positive
82,Only1Atiti,2022-07-09 23:47:36+00:00, i can never forgive burna boy cos i was expecting a song with Bnxn on LOVEDAMINI tbh,Mars ,False,Twitter for iPhone,3870,3,1545917619156533248,0,Negative
83,BurnaBoyAG,2022-07-09 23:47:35+00:00," Happy birthday to a topmost Outsider _edi__ 

Thank you for all you do.
You LOVEDAMINI from the bottom of your heart,…",Space 🛸,False,Twitter for iPhone,493,26,1545917615519907840,2,Positive
84,solobankole23,2022-07-09 23:47:34+00:00," There's this part in Jagele that looks like Burna was losing his voice, that's the beauty of that song 
LOVEDAMINI","Manchester, England",False,Twitter for Android,1501,41,1545917607626276864,2,Positive
85,kenzoranking,2022-07-09 23:47:27+00:00," Yesterday when we visited the Aboki community at Elegushi, Lagos. We shared food packs to 300 people courtesy of Burna Boy…","Accra, Ghana",False,Twitter Web App,483,247,1545917579474124808,1,Neutral
86,BurnaBoyAG,2022-07-09 23:47:23+00:00," 10 million in one day? 

Crazyyy LOVEDAMINI",Space 🛸,False,Twitter for iPhone,493,51,1545917561757261825,2,Positive
87,kvnq_sammie,2022-07-09 23:47:21+00:00," ’s LOVEDAMINI is 

Love to see a level of vulnerability and sonic diversity on such a visible “afrobeats” albu…",On the streets,False,Twitter for Android,2129,1,1545917555088527360,2,Positive
88,drtruetalk,2022-07-09 23:47:20+00:00,"_owl Ed Sheeran trying out Burna Boy’s heavy Jewelries 

 “For my hand” is 15 on UK  Apple Music chart 

LOVEDAMINI https…",,False,Twitter for iPhone,52,212,1545917551913435136,2,Positive
89,iam_batan,2022-07-09 23:47:19+00:00, .’s LOVEDAMINI is now 1 in 45 countries. (Apple),Jos plateau,False,Twitter for Android,786,99,1545917545139560449,2,Positive
90,AdedotunCody,2022-07-09 23:47:15+00:00, No fela no diddy yet we breaking records. Them dey pray make we fall and stagger but We move in cloak in dagger  LOV…,Africa,False,Twitter for iPhone,4728,14,1545917531541704704,1,Neutral
91,OUTSIDERS_CREW,2022-07-09 23:47:10+00:00,"_ As you are listening to “For my hand” , make sure you jam “last last” too. There’s a reason why they are on the same albu…","Chicago, IL",False,Twitter for iPhone,455,276,1545917509639061504,1,Neutral
92,BurnaBoyAG,2022-07-09 23:47:09+00:00," I'm still streaming LOVEDAMINI  no skips. I never get that time for twitter

Each of my fav song just change sha",Space 🛸,False,Twitter for iPhone,493,11,1545917505264267264,2,Positive
93,drtruetalk,2022-07-09 23:47:08+00:00, Made sure I Signed a few CDs for my outsiders in London and Birmingham that couldn’t make it! Go grab in store at HMV LOVEDA…,,False,Twitter for iPhone,52,630,1545917499723730944,2,Positive
94,Godwin_nexsus,2022-07-09 23:47:07+00:00," . earned his biggest streaming day of all-time on Spotify on July 8, with 10 million listens following the release…",Port Harcourt.,False,Twitter for Android,1996,596,1545917498092142592,2,Positive
95,ajiboolaa,2022-07-09 23:47:05+00:00,"I just dey listen to LOVEDAMINI 
Odogwu come carry my sister ",Between time and space,False,Twitter for iPhone,3401,0,1545917486444445696,1,Neutral
96,Rycon70355863,2022-07-09 23:47:00+00:00," Omo this burna album na 10000/100
lovedamini 
 ",,False,Twitter for iPhone,6,1076,1545917465645006849,2,Positive
97,OgarThompson2,2022-07-09 23:46:59+00:00, We'd like to say a massive thanks to  and everyone who came to his album signing today here at hmv Vault! His new al…,Outside 🦍,False,Twitter for Android,1588,56,1545917461450604544,2,Positive
98,Kingdavidgift,2022-07-09 23:46:57+00:00," If you love  , please kindly retweet this love damini shirt designed by taylorbankz....let's Make it go viral...…",earth,False,Twitter for Android,687,2,1545917454282620929,2,Positive
99,BurnaBoyAG,2022-07-09 23:46:53+00:00, Burna boy dropped anthems for the mandem this summer with LOVEDAMINI ,Space 🛸,False,Twitter for iPhone,493,5,1545917438457327616,1,Neutral
100,Warden_TheOG,2022-07-09 23:46:51+00:00," . earned his biggest streaming day of all-time on Spotify on July 8, with 10 million listens following the release…","Port Harcourt, Nigeria",False,Twitter for Android,674,596,1545917428969996290,2,Positive
101,I_am_adebola,2022-07-09 23:46:42+00:00," Last Last, even cat  dey chop breakfast.

for others to see.  

LOVEDAMINI BURNABOY ",Lagos,False,Twitter for Android,805,2,1545917391686848512,1,Neutral
102,kingzikie,2022-07-09 23:46:42+00:00, Thanks  LOVEDAMINI,Paris 🇫🇷,False,Twitter for iPhone,1861,4786,1545917390239969280,2,Positive
103,Pana_xl,2022-07-09 23:46:42+00:00," Person wey listen to Burna Boy ft Ed sheeran For my hand and fall in love again
Go later listen to Last Last from same…",Nigeria ,False,Twitter for Android,190,71,1545917389644206080,1,Neutral
104,AdedotunCody,2022-07-09 23:46:36+00:00," Only if you know how much people you inspire
May God keep you longer Oluwa Burna 
BURNABOY LOVEDAMINI Grachidex htt…",Africa,False,Twitter for iPhone,4728,19,1545917366235717632,2,Positive
105,its_niquaaa,2022-07-09 23:46:35+00:00,"When  said “For this life I deh, I want to be celebrated..Don’t wanna waste my days, I want to spend them… ",somewhere in the world.,False,Twitter for iPhone,894,0,1545917363958304771,2,Positive
106,t3mit4yo,2022-07-09 23:46:34+00:00, Thanks  LOVEDAMINI,studio,False,Twitter for iPhone,612,4786,1545917358761541639,2,Positive
107,doyenkhingin,2022-07-09 23:46:31+00:00, Take 3   LOVEDAMINI ,Trenches,False,Twitter for Android,9130,5,1545917346967076866,2,Positive
108,Lydie_Lyds,2022-07-09 23:46:30+00:00, BURNA BOY - COMMON PERSON LOVEDAMINI ,"London, England",False,Twitter for iPhone,299,881,1545917342399561728,1,Neutral
109,JasinMiles,2022-07-09 23:46:30+00:00, No fela no diddy yet we breaking records. Them dey pray make we fall and stagger but We move in cloak in dagger  LOV…,Nigeria,False,Twitter for Android,1004,14,1545917340449128448,1,Neutral
110,BrightOkechuk15,2022-07-09 23:46:29+00:00, Thanks  LOVEDAMINI,"California, USA",False,Twitter Web App,113,4786,1545917336758079489,2,Positive
111,MagicJunior64,2022-07-09 23:46:28+00:00, No fela no diddy yet we breaking records. Them dey pray make we fall and stagger but We move in cloak in dagger  LOV…,Paradise,False,Twitter for Android,183,14,1545917332710735873,1,Neutral
112,_Javari,2022-07-09 23:46:25+00:00,"
Can’t seem to get over how beautiful this song is 
 LOVEDAMINI",Greatness,False,Twitter for iPhone,1494,1,1545917320345919489,2,Positive
113,DonPabl7,2022-07-09 23:46:20+00:00," All the songs from LoveDamini are now charting in over 30 countries each 

Highest  last last = 76 countries 
Lowest…",,False,Twitter for Android,715,160,1545917297180672003,1,Neutral
114,Kelvinlegitguy,2022-07-09 23:46:18+00:00, Now streaming LOVEDAMINI . That's a very electric album by  !,Outside,False,Twitter for iPhone,2562,12,1545917292327931904,2,Positive
115,Pana_xl,2022-07-09 23:46:17+00:00," For my hand did 1,025,946 in a single day. LOVEDAMINI ",Nigeria ,False,Twitter for Android,190,15,1545917287923961857,2,Positive
116,JasinMiles,2022-07-09 23:46:13+00:00, Anyone that slanders LOVEDAMINI is just forcing it tbh lol… BURNA is an IDOL to your faves. They know ,Nigeria,False,Twitter for Android,1004,12,1545917268760182784,1,Neutral
117,CeejayJason,2022-07-09 23:46:07+00:00," . earned his biggest streaming day of all-time on Spotify on July 8, with 10 million listens following the release…",The Word Street,False,Twitter for iPhone,4629,596,1545917244257013761,2,Positive
118,ChukwuebukaAri1,2022-07-09 23:46:06+00:00, Burna Boy never disappoints! I love every bit of his new album. LOVEDAMINI,,False,Twitter for iPhone,629,96,1545917241853607937,2,Positive
119,DeeGraphix007,2022-07-09 23:45:58+00:00," Portugal  iTunes Top Albums

1. Burna Boy — LoveDamini [New Entry] ",Outside,False,Twitter for Android,592,88,1545917207812661251,1,Neutral
120,Taylorbankz3,2022-07-09 23:45:55+00:00," If you love  , please kindly retweet this love damini shirt designed by taylorbankz....let's Make it go viral...…","Ibadan, Nigeria",False,Twitter for Android,346,2,1545917192302215170,2,Positive
121,KiwiBwoy,2022-07-09 23:45:54+00:00," Yesterday when we visited the Aboki community at Elegushi, Lagos. We shared food packs to 300 people courtesy of Burna Boy…",EARTH,False,Twitter for iPhone,1466,247,1545917188892147713,1,Neutral
122,JasinMiles,2022-07-09 23:45:54+00:00," “Cause of oil and gas my city so dark, every man have to stand on guard”  Whiskey LOVEDAMINI",Nigeria,False,Twitter for Android,1004,10,1545917188229439489,1,Neutral
123,_iamprincefidel,2022-07-09 23:45:47+00:00," War music? E dey
Heartbreak? E dey
Vibes? E dey
Motivation? E dey
Love? E dey
Conscious music? E dey
Club banger? E dey

LOVED…",somewhere in the world 🌍,False,Twitter for Android,1397,154,1545917160383565824,1,Neutral
124,AdedotunCody,2022-07-09 23:45:44+00:00,"_  E sure me die 
Na me cos right now sef I dey Boomplay, I go play on YouTube then go Appl… ",Africa,False,Twitter for iPhone,4728,0,1545917146760364032,1,Neutral
125,BurnaBoyAG,2022-07-09 23:45:42+00:00," Yesterday when we visited the Aboki community at Elegushi, Lagos. We shared food packs to 300 people courtesy of Burna Boy…",Space 🛸,False,Twitter for iPhone,493,247,1545917140036857856,1,Neutral
126,Kelvinlegitguy,2022-07-09 23:45:42+00:00, .’s LOVEDAMINI is now 1 in 45 countries. (Apple),Outside,False,Twitter for iPhone,2562,99,1545917139412033536,2,Positive
127,JamesBall___,2022-07-09 23:45:40+00:00, I’m really vibing to LOVEDAMINI best album to come out this year by far  ,,False,Twitter for Android,117,4,1545917132067725312,2,Positive
128,Godwin_nexsus,2022-07-09 23:45:39+00:00, .’s LOVEDAMINI is currently 1 in 43 countries and charts in over 130 countries overall.  ,Port Harcourt.,False,Twitter for Android,1996,777,1545917125612675072,2,Positive
129,theopd5,2022-07-09 23:45:39+00:00,Nah this left me speechless LOVEDAMINI ,,False,Twitter for iPhone,13,0,1545917125080104960,2,Positive
130,OUTSIDERS_CREW,2022-07-09 23:45:35+00:00," . simultaneously occupies the entire top 19 on the Nigerian Apple Music, Spotify &amp; Deezer charts with every so…","Chicago, IL",False,Twitter for iPhone,455,126,1545917108604866565,1,Neutral
131,thewhitejalab,2022-07-09 23:45:32+00:00," CLOAK AND DAGGER SHOULD BE ADDED TO GTA SOUNDTRACK. WHHHAAATTT. 
@_Telz  
LOVEDAMINI",in the Clouds on a Spaceship🛸,False,Twitter for Android,222,12,1545917097573851139,2,Positive
